जबकि यह जैनों से कम है।	Jabki yah Jainon se km hai.
प्रयोगशाला अभिकर्मक के रूप में तथा औषधालयों में औषधि रूप में प्रयुक्त।	prayogshala abhikarmi ke roop men men tatha aushadhalayon men aushadhi men prayukt.
एक और पाठांतर में, यह कहा जाता है कि रॅपन्ज़ेल ने अंततः दो बच्चों को जन्म दिया (कुछ रूपांतरणों में, एक बेटी और एक बेटा)।	ek aur pathantar men, yah kaha jata hai ki Repangel ne anttah; do bacchon ko janm diya (kuchh rupantaron men, eak beti aur ek beta).
अमूर्त संरचना	amurt sanrachna
गैलीलियो ने हमें यह बताया कि सत्य को अंकित करने की एक और लिपि है जो हमारी लिपि से पृथक है – वर्ग, आयत, त्रिभुज, वृत्त, पिरामिड और अन्य ज्यामितीय आकृतियाँ इसके अक्षर हैं।	Gaileo ne hamen yah bataya ki saty ko ankit karne ki ek aur lipi hai jo hamari lipi se prithak hai - varg, aayat, tribhuj, vritt, priamid aur anya jyamitiy akritiyan iske akshar hain.
शुरुआती अवस्था- यह करीब दो वर्षों तक चलता है।	shuaati avastha- yah karb do varshon tak chalta hai.
और लंबी लड़ाई के बाद श्री भीम ने बकासुर को मार डाला और पास मे चक्रनगरी मे उसे कुएं के अन्दर डाल कर कुएं को ढक दिया।	aur lambi ladai ke baad Shr Bheem ne Bakasur ko maar dala aur pas ke Chakrnagari men use kuyen ke andhar daal kar kauyen ko dhak diya.
इस प्रान्त में बहुत अधिक अयस्क पाए जाते थ और विशेष रूप से सोना और चांदी पर्याप्त मात्रा में थे।	is prant men bahut adhik ayask paye jate the aur vishesh roop se sona aur chandi paryapt matara men the.
लाहौर नेशनल कालेज में शिक्षा के दौरान भगवती चरण ने रुसी क्रान्तिकारियो से प्रेरणा लेकर छात्रो की एक अध्ययन मण्डली का गठन किया था।	Lahor National College men shiksha ke dauran Bhagvati Charan ne rusi krantikariyon se prerna lekar chhatron kii ek adhayayan mandil ka gatthan kiya thaa.
नागार्जुनकोंडा इक्ष्वाकु राजाओं के समय एक सुन्दर नगर था।	Nagarjunkonda Ikshwaku rajayon ke samay ek sundar nagar thaa.
लाल दानव तारा	lal daanav tara
आजाद भारत में कालू - गोपाल चतुर्वेदी	aazad bhat men Kalu - Gopal Chaturvedi
आपकी शिक्षा कितलाना, चरखी दादरी एवं पिलानी में हुई।	aapki shiksha kitlana, charkhi dadari evm pilani men hui.
अत: यह मत साक्ष्यसंमत नहीं प्रतीत होता।	atah yah mat sakshysammat nahin pratit hota.
वह लद्दाख से ल्हासा गये और फिर वहाँ से असम पहुँचे.	vah Laddkah se Lhasa gay aur fir vahan se asam pahunche.
वृष राशि वाले जातक शांति पूर्वक रहना पसंद करते हैं, उनको जीवन में परिवर्तन से चिढ सी होती है, इस राशि के जातक अपने को बार बार अलग माहौल में रहना अच्छा नहीं लगता है।	vrish rashi vale jatak shanti poorvak rahna pasand kaarte hain, unko jeevan men privartan se chidh se hoti hai, is rahi ke jatak apne ko bar bar alag mahul men rahan accha nahin lagta hai.
आगे चलकर उसे अट्ठारह पुराणों में बाँटा गया जिसमें लिंग पुराण का ग्यारहवाँ स्थान है।	aage chalkar use atttharah puranon men banta gaya jismen ling puranh ka gyarahavan sthan hai.
केवल मनुष्य के रूप में, सही समय पर सही कर्म कर हम अपनी नियति के बारे में कुछ करने की स्थिति में होते हैं।	keal manushy ke roop men, sahi samay pra sahi karm kar ham apne niyati ke bare men kuhh karne kii sthiti men hote hai.
पिंक फ़्लॉइड एक अंग्रेज़ी रॉक बैंड था, जिसने 1960 के दशक के उत्तरार्ध में, अपने साइकेडेलिक और स्पेस रॉक संगीत के लिए और 1970 के दशक में, जब उन्होंने विकास किया, अपने प्रगतिशील रॉक संगीत के लिए पहचान बनाई।	Pink Floyd ek angreji rock band thaa, jisne 1960 ke dashak ke uttarardh men, apne psychedelic aur space rock sangeet ke liye aur 1970 ke dashak men, jab unhonne vikas kiya, apne pragtisheel rock sangit ke liye pahchan banaai.
वह अमेरिकी नौसेना अकादमी, स्टैनफोर्ड यूनिवर्सिटी और यू.	vah ameriki nausena akadami, Stainfor University aur U.
चरागाह	charagah
28 जून, 1987 को इराकी विमानों ने , हलबजा और सरदाश्त में कुर्द लोगों के खिलाफ एक हमले में प्रयुक्त गैस को ,मस्टर्ड गैस माना गया था।	28 June, 1987 ko Iraki vimanon ne , Halabja aur Sardasht men kurd logon ke khilaf ek hamle men prayukt gas ko ,mustard gas maana gaya thaa.
यह गुरु की दूसरी और भचक्र की अंतिम राशि है।	yah guru ki doosari aur bchkr ki anti raashi hai.
मेष राशि के अन्तर्गत अश्विनी नक्षत्र के चारों चरण और कॄत्तिका का प्रथम चरण आते हैं।	mesh rashi ke antargar Ashwini nakshta ke charon charn aur kritika ka pratham charan aate hain.
इसके उपरांत गर्दभिल्ला और नागों का अधिकार इस प्रदेश पर हुआ।	iske uprant gardbhilla aur naagon ka adhikar is pradesh men hua.
महन्‍त इस रंगपूर्ण और पवित्र सजे हुऐ झण्डे को दोपहर बाद उठाता है।	mahant is ranpoorn aur pavitr saje huy jhande ko dopahar baad uthaata hai.
सीमा मल्होत्रा, ब्रिटेन की राजनीतिज्ञ	Seema Malhota, Britain ki rajnitigya
यहीं ज्योतिसर नामक स्थान गीता उपदेश की जगह है।	yahi jyhtiar namak sthan geeta updeh ki jagah hai.
सन् 1853 में एक जाँच कमीशन नियुक्त हुआ।	san 1853 men ek janch kamishann niyukt hua.
8वीं सदी में, पॉल द डिकोन जो कि बेल्जी में रहते थे, उन्होंने भूमध्यसागर के दर्शकों के लिए ऐसे ज्वार का उपयोग न करने के लिए ज्वार लहर के चढ़ाव और बड़े भंवरों का वर्णन किया।:	8veen sati men, Paul the Decon jo ki Belji men rahte they, unhone bhoomadhyasagar ke darshakon ke liye aise jwar ka upyog na karne ke liye jwar lahar ke chadhav aur bade bhanvaron ka varan kaya.
सशक्त अभिव्यक्ति के लिए बोलचाल की भाषा का प्रयोग इसमें अधिक हुआ है।	sashakt abhiyakti ke liye bolchal ki bhasha ka prayog ismen adhik hua hai.
वैज्ञानिक परिकलित्रों के आने से स्लाइड रूल का प्रयोग लगभग पूरी तरह समाप्त हो गया।	vaigyanik parikalitron ke aane se slide rule ka prayog lagbhag poori tarah samapth ho gaya.
1789 केफ्रांसीसी क्रांति ने सदियों पूर्व कुछ प्रश्नोँ और जोरदार राजनीतिक और सामाजिक बहस के बाद आम जनता द्वारा स्वीकारी गई मान्यताओं और संस्थानों को जड़ से उखाड़ दिया।	1789 ke Fransisi kranti ne sadiyon poor kuchh prashon aur jordar rajnitik aur samajik bahas ke baad aam janta dwoara sweekari gai manytaaon aur sansthanon ko jad se ukhad diya..
इसका द्वार दो सिंहों द्वारा रक्षित हैं।	iaka swar do sinhon dwara rakshit hai.
न्याय की अवधारणा राजनीतिक दर्शन की महत्त्वपूर्ण अवधारणा है।	nyay ki avdhaarna ranitik darshan ki mahtvpoorn avdhaarna hai.
इच्छोगिल नहर भारत और पाकिस्तान की वास्तविक सीमा थी।	Icchhogil nahar bharat aur pakistan kii vastvik seema thee.
भारत में यह अप्रैल से जुलाई तक होती है।	bhat men yah Ariil se July tak hoti hai.
सौभाग्य से यह एक सामान्य अप्रभावी जीन होता है।	saubhagy se yah eak samany aprabhavi jeen hota hai.
सम्पूर्ण संस्कृत वाङ्मय के सांगोपांग अध्ययन और अध्यापन का संचालन करने, सतत विशेषज्ञीय अनुसंधान और उससे आनुषंगिक अन्य विषयों की व्यवस्था करने तथा संस्कृत वाङ्मय में निहित ज्ञान-विज्ञान की अनुसंधान पर आधारित सरल वैज्ञानिक पद्धति से व्यावहारिक व्याख्या प्रस्तुत करने के साथ ही अन्य महत्त्वपूर्ण अनुसंधानों के परिणामों और उपलब्धियों को प्रकाश में लाने के उद्देश्य से राजस्थान राज्य में संस्कृत विश्वविद्यालय की स्थापना के लिए राजस्थान संस्कृत विश्वविद्यालय अधिनियम 1998 (1998 का अधिनियम 10) की अनुमति महामहिम राज्यपाल महोदय द्वारा दिनांक 2-9-1998 को दीगई।	ampurn sanskri vadmay ka sangopang adhayyan aur adhyapan ka sanchalan karne, satat visheshgyis anusandhan aur usase anushangik anya vishayon kii yavstha karne tatha sanskrit wadmay men nihit gyan-vigyan kii anusandhan pr adhaari saral vaigyanik paddhati se yvavaharik vyakhya prastu karne ke saath hi anya mahtvpurn anusandhanon ke parnamon aur uplabdhiyon ko prakash men laane ke uddyshy se Rajasthan rajy men sanskrit vishwvidyalay ki sthapna ke liye Rajasthan sanskri vishwvidyalay adhinium 1998 (1998 ka adhiniyam 10) kii anumati mahamahim rajyapal mahoday dwara dinank 2-9-1998 ko deegai.
हालांकि जब वह बुरे कर्म के फल दिया करता है, तब लोग सोच सकते हैं कि भगवान क्रूर है, जबकि बात ऐसी नहीं है।	halanki jab vah bur karm ke fal diya karta hai, tab log soch sakte hain ki bhagwan kroor hai, jabki baat aisi nahin hai.
यह मायोटिनिया और साथ ही मांसपेशी क्षय और कमजोरी द्वारा चिह्नित है।	yam myhotiniya aur saath hi maanspshi kshay aur kamjori dwara chinhit hai.
इसलिये जो मशीन इस धुरी से चलाई जा रही हो, वह बिना धुरी के रोके हुए रोकी जा सकती है।	isleye no mashin is dhuri se chalai jaa rahi ho, vah bina dhuri ke roke huye rhimooki ja sakti hai.
सन्‌ १९१२ में गुरुद्वारा ठीकरीवाल का शिलान्यास किया गया।	san 1912 men gurudwara Theekariwal ka shilanyas kiya gaya.
यह अत्याधुनिक तकनीक से बनी 17 मीटर लंबी और दो मीटर चौड़ी अग्नि-५ मिसाइल परमाणु हथियारों से लैस होकर 1 टन पेलोड ले जाने में सक्षम है।	yah atyadhuik taknik se bani 17 meter lambi aur do meter chaudi agni-5 missile parmnu hathiyaron se lais hokar 1 tn pelod le jaane men sakshm hai.
एक ओर सत्यार्थ प्रकाश का गम्भीर अध्ययन व दूसरी ओर स्वामी सोमदेव के साथ राजनीतिक विषयों पर खुली चर्चा से उनके मन में देश-प्रेम की भावना जागृत हुई।	ek or Satyarth Prakah ka gambhir adyayan v doori or Swami Somdev ke saath rajnitik vishyon par khul charcha se unke man men desh-prem kii bhavna jagrit hui.
हीमोग्लोबिन में बीटा श्रृंखला के 6 स्थिति में वलाइन के हाइड्रोफोबिक अवशेष, हाइड्रोफोबिक पैच के साथ संबद्ध करने में सक्षम होते हैं, जो हीमोग्लोबिन एस अणु को इकठ्ठा होने और रेशेदार अवक्षेप बनाने के लिए प्रेरित करते हैं।	Himoglobin men bita shrinkhla ke 6 sthiti men valine ke hydrophobic avshesh, hydrophobik pench ke saath smbandh karne men saksham hote hain, jo Himoglobin S anu ko ikttha hone aur Rshedar avshep banane ke liye prerit karte hain.
यह पुस्तकेँ जो सर्वेयरोँ की आने वाली पीढियोँ के लिये भी एक ग्रंथ के समान हैं.	yah pustaken jo Sarveyaron ki aane waali Pidhiyon ke liye bhi ek granth ke samaan hain.
इससे पूर्व यह कीर्तिमान ऑस्ट्रेलिया की एम्मा जॉर्ज के नाम था, जिन्होने 1995 से 1999 के बीच लगातार 11 बार विश्व रिकॉर्ड तोडा था।	isse purv yah Kirtimaan Austreliya ki Amma Gordge ke naam tha, jinhone 1995 se 1999 ke beech lagataar 11 baar Vishw record toda tha.
अरुण भूतनाथ	Arun Bhutnath
अगले दिन दुबारा युद्ध हुआ, दोनों ही पक्षों ने कई हथियार और रथो का उपयोग किया इस युद्ध में पर दोनों को ही काफी हानि हुई और कोई भी पक्ष नहीं जीता।	agle din dubara yuddh hua, donon hi pakshon ne kai Hathiyaar aur Ratho ka upyog kiya is Yuddh men par donon ko hee kafi hani hui aur koi bhi paksh nahin jeeta.
अब सर्वाधिक उर्वर जमीनें उनके लिए दुर्लभ हो गईं क्योंकि वे अब दामिन का हिस्सा बन चुकी थीं।	ab sarvadhik Urvar jameenen unke liye durlabh ho gain kyonki we ab Damin ka hissa ban chuki thin.
इतने कम पैसे में उनके परिवार का गुज़ारा नहीं होता था।	itne kam paise men unke pariwar ka gujara nahin hota tha.
1987 में, अमेरिकन एक्सप्रेस ने अपना पहला क्रेडिट कार्ड उत्पाद, ऑप्टिमा कार्ड प्रस्तुत किया।	1987 men, American Express ne apna pahla Credit Card utpaad, Optima Card prastut kiya.
गौरतलब है कि भक्तशिरोमणि हनुमान के नामकरण में भी इसी घनु या हनुः का योग रहा है।	gourtalab hai ki Bhaktshiromani Hanumaan ke naamkaran men bhi isi ghanu ya Hanu: ka yog raha hai.
धवला उनकी सबसे प्रसिद्ध रचना है।	Dhavla inki sabse prasiddh rachna hai.
पेशी अपविकास वाले कुछ बच्चे बचपन में ही मर जाते हैं जबकि अन्य केवल मध्यम विकलांगता के साथ वयस्क उम्र तक जीते हैं।	Peshi apvikaas wale kuchh bacche bachapan men hi mar jaate hain jabki any keval Madhyam viklangta ke sath waysk umr tak jeete hain.
इसमें ग्रामीण गृहिणी के काम-काज पर भी नृत्य प्रस्तुत किया जाता है।	ismen Grameen gruhani ke kaam-kaaj par bhi nruty prastut kiya jata hain.
दक्षिण भारत में यह स्वत: उगता है तथा बाग में लगाया जाता है।	Dakshin Bharat men yah swat: ugta hai tatha baag men lagaya jata hai.
यह राज्य की राजधानी गुवाहाटी में स्थित है।	yah Rajy ki rajdhanoi Guwahati men sthit hai.
शरीर के सारे अंग सही काम कर रहे होते है।	sharir ke sare ang sahi kaam kar rahe hote hai.
बाद में वे अमेरिका के राष्ट्रपति बने।	baad men we America ke rashtrapati bane.
वंशीवटमाधुरी, केलिमाधुरी, उत्कंठामाधुरी, वृंदावनमाधुरी, दानमाधुरी, मानमाधुरी, होरी माधुरी, प्रिया जी की बधाई आदि इनकी छोटी-छोटी रचनाएँ हैं, जिनका एक संग्रह 'माधुरी वाणी' नाम से प्रकाशित हो चुका है।	Vanshivatmadhuri, Kelimadhuri, Utkanthamadhuri, Vrundavanmadhuri, Danmadhuri, Maanmadhuri, Hori Madhuri, Priya jee ki badhai aadi inki chhoti-chhoti rachanayen hain, jinka ek sangrah 'Madhuri Wani' naam se prakashit ho chuka hai.
एक औरत की जिंदगी - शिवदान सिंह चैहान	ek Aurat ki Jindgee - Shivdaan Sinh Chouhan
तांबे का गलनांक 1000 डिग्री सेल्सिसियस है, जबकि टीन 250 डिग्री सेल्सियस पर पिघल जाता है।	Tambe ka galnank 1000 Digree Celsius hai, jabki Teen 250 digree Celsius par pighal jata hai.
शिशु दिन रात सोते है पर कुछ महीने गुज़र जाने के बाद शिशु आम तौर पर प्रतिदिन सोता है।	Shishu din raat sote hai par kuchh Mahine gujar jane ke baad Shishu aam taur par pratidin sota hai.
बगीचों और घरों में भी इनके कारण समस्याएं आती है जहाँ वे पौधों, अपनी छवि को दर्पण में देखकर तोड़ देना, चोंच से कारों को खरोंच देना या उन पर गोबर छोड़ देते है।	Bagichon aur Gharon men bhi inke karan samsyayen aati hai jahan we Poudhon, apni chhavi ko darpan men dekhakar tod dena, Chonch se karon ko kharonch dena ya un par Gobar chhod dete hai.
एक वायलिन समुद्र के किनारे - कृष्ण चन्द्र	ek Waylon samudra ke kinare - Krushna Chandra
कार्ड धारकों को परियोजनाओं के लिए अपने विचार प्रस्तुत करने के लिए आमंत्रित किया गया और अमेरिकन एक्सप्रेस (स्वच्छ पेयजल उपलब्ध कराने के लिए) परियोजना के 2 मिलियन डॉलर का फ़ंड तैयार कर रहा है।	card dharkon ko pariyojnaon ke liye apne vichar prastut karne ke liye aamntrit kiya gaya aur American Express (swacchh peyjal uplabdh karane ke liye) pariyojna ke 2 Million dollar ka fund taiyaar kar raha hai.
नतीजतन, अपराध दुनिया में उसके प्रतिद्वंद्वियों, धनेश्वर (प्रेम चोपड़ा) और उसके भाई तेजेश्वर (मुकेश ऋषि) ने सिंघानिया की हत्या कर दी।	Natijatan, apradh Duniya men uske Pratidwandviyon, Dhaneshwar (Prem Choda) aur uske Bhai Tejeswar (Mukesh rishi) ne Singhaniya ki hatya kar di.
वैद्य द्वारा रचित एक उपन्यास है जिसके लिये उन्हें सन् 2008 में कन्नड़ भाषा के लिए साहित्य अकादमी पुरस्कार से सम्मानित किया गया।	Vaidy dwara arachit ek Upnyaas hai jiske liye unhe sann 2008 men Kannad Bhasha ke liye sahity Akadami purskar se sammanit kiya gaya.
दीवान आनंद कुमार पंजाब विश्वविद्यालय के तीसरे उप-कुलपति बने।	Deewan Aanand Kumaar Panjaab Vishwavidyalay ke teesre up-Kulpati bane.
उत्तरी ध्रुव की कहानियां - यूरी रिकरव्यू	Uttari Dhruv ki kahaniyan - Yuri Hikaru
2012 के चुनावों में वे अपने निकटतम प्रतिद्वंद्वी को 639 वोटों के अंतर से हराकर निर्वाचित हुए।	2012 ke chunawon men we apne nikattam pratidwandi ko 639 Voton ke antar se harakar nirvachit huye.
समुदाय का नाम संस्कृत शब्द कल्यापाला से लिया गया है, जिसका मतलब है शराब के डिस्टिलर; प्राचीन काल से जब तक ब्रिटिश काल तक कलावार मुख्य रूप से छोटे पॉट-स्टिल में किण्वित शराब बनाने में लगे थे।	samuday ka naam Sanskrut shabd Kalyapala se liya gaya hai, jiska matlab hai Sharab ke Distilar; Prachin kaal se jab tak British kaal tak kalawar mukhya roop se chhote Pot-Stil men kinvit Sharab banane men lage the.
विषम से विषम परिस्थिति भी उन्हें तोड़ नहीं पाती।	Visham se Visham paristhiti bhi unhe tod nahin pati.
आधुनिक औद्योगिक क्रांति के फलस्वरूप परिवार की रचना और कार्यों में गंभीर परिवर्तन परिलक्षित हुए हैं।	Aadhunik Audyogik Kranti ke falswaroop pariwar ki rachana aur karyon men gambhir parivartan parilakshit huye hain.
1980 दशक के आखरी वर्षों में लाये गए परिवर्तनों से गूची का नाम एक बार फिर विश्व के अति प्रभावशाली फैशन-कंपनियों में गिना जाने लगा, और साथ ही कारोबार अत्यंत लाभदायक भी साबित हुआ।	1980 dashak ke aakhari varshon men laye gaye parivartanon se Guchi ka naam ek baar fir Vishw ke ati prabhavshali Fashion-Companiyon men gina jane laga, aur sath hi karobaar atyant labhdayak bhi sabit hua.
सोडियम सल्फेट एक अकार्बनिक यौगिक है।	Sodium Salfet ek Acarbnic yaugik hai.
मेंनस सर्विसेज	Mens Services
समाज-कार्य के विकास के साथ-साथ इसके व्यावसायिक संगठन भी बन रहे हैं, जिनसे इसका स्तर ऊँचा उठ रहा है।	Samaaj-Kary ke vikaas ke sath-sath iske vyavsayik sangthan bhi ban rahe hain, jinse iska star unchan uth raha hai.
अंततः वह स्वयं और उसकी माँ निर्वाह खेती से समर्थन करती थी, पहले कॉर्नवाल में और बाद में स्कॉटलैंड में।	antat: wah swayn aur uski Maa nirwah Kheti se samrthan karti thi, pahle Cornwaal men aur baad men Scotland men.
यह संस्थान वशिष्ठ चरियाली, लालमाटी 37 राष्ट्रीय राजमार्ग में अवस्थित है।	yah sansthan Washisht Chariyali, Lalmati 37 Rashtriy Rajmarg men avsthit hai.
बल्कि एक तथ्य के रूप में यह सभी अंधेरा है" स्टूडियो के आयरिश दरबान, गेरी ओ'ड्रिसकोल की ओर से आया।	balki ek tathy ke roop men yah sabhi Andhera hai" Studio ke Irish Darbaan, Gerry ondriscoll ki aur se aaya.
यहां पर नृत्य, संगीत व अन्य कार्यक्रमों का आनंद उठाया जा सकता है।	yahan par Nurty, Sangeet v any karyakramon ka Aanand uthaya ja sakta hai.
उसका उत्तराधिकारी उसका भाई आम्र​ बिन लैथ़ था जिसे ९०० ईसवी में सामानी साम्राज्य के इस्माइल सामानी ने बल्ख़ में हरा दिया और अपने अधिकतर क्षेत्र को सामानियों के हवाले देने के लिए विवश कर दिया।	uska Uttaradhikari uska Bhai Aamr Bin Lath tha jise 900 isvi men Samani Samrajy ke Ismail Samani ne Balkh men hara diya aur apne adhikatar kshetr ko Samaniyon ke hawale dene ke liye vivash kar diya.
करण मल्होत्रा, भारतीय फ़िल्म निर्देशक तथा लेखक	Karan Malhotra, Bhartiy Film nirdeshak tatha Lekhak
गुलामी की ज़िंदगी जीने के लिए मजबूर हुए मैक्सिमस को ग्लैडिएटर खेलों में उतरना पड़ता है ताकि वह शहंशाह द्वारा हुए अपने परिवार के क़त्ल का प्रतिशोध ले सके।	Gulami ki jindgi jeene ke liye majboor huye Maximus ko Glediator khelon men utarna padta hai taki wah Shahanshah dwara huye apne pariwar ke katl ka pratishodh le sake.
आसमान कितना नीला - श्री गोविन्द्र मिश्र	Aasmaan kitna Neela - Shri Govind Mishr
कांग्रेस की डिफेंस टीम में सर तेज बहादुर सप्रू के नेतृत्व में मुल्क के उस समय के कई नामी-गिरामी वकील भूलाभाई देसाई, सर दिलीपसिंह, आसफ अली, पं॰ जवाहरलाल नेहरू, बख्शी सर टेकचंद, कैलाशनाथ काटजू, जुगलकिशोर खन्ना, सुल्तान यार खान, राय बहादुर बद्रीदास, पी.	Congress ki Difence Team men Sir Tej Bahadur sapru ke netrutw men Mulk ke us samay ke kai Nami-Girami Wakil Bhulabhai Desai, Sir Dilipsinh, Aasaf Ali, Pan. Jawaharlaal Nehru, Bakshi sir Tekchand, Kailashnaath Kataju, Jugalkishor Khanna, Sultaan Yar Khan, Rai Bahadur Bdridaas, P.
ईसाई हो गये, पर रह गये दलित के दलित	Isai ho kaye, par rah gaye Dalit ke Dalit
जब वह 15 साल की थी तब लक्ष्मी पर एसिड अटैक हुआ था।	jab wah 15 saal ki thi tab Laxmi par Acid Attack hua tha.
यहाँ शिया आबादी का निवास है और यह प्रान्त की राजधानी दम्माम से महज २० किलोमीटर उत्तर-पश्चिम में अवस्थित है।	yahan Shiya aabadi ka niwas hai aur yah Prant ki Rajdhani Dammam se mahaj 20 kilometar Uttar-Pashchim men avsthit hai.
गुलिवर के द्वारा किये गए यूरोप के इस विवरण से राजा प्रभावित नहीं होता है, विशेष रूप से बंदूकों और तोपों के उपयोग की शिक्षा से.	Guliwar ke dwara kiye gaye Erope ke is vivran se Raja prabhavit nahin hota hai, vishesh roop se Bandukon aur Topon ke upyog ki shksha se.
वाहिका-पूर्णावरोधक संकट अक्सर सिकल आकार की लाल रक्त कोशिकाओं के कारण होता है जो रक्त नलिकाओं को बाधित करती हैं तथा जिसके कारण स्थानिक-अरक्तता, दर्द, परिगलन तथा कई बार अंग की क्षति होती है।	Wahika-Purnavarodhak sankat aksar Sikal aakar ki Laal rakt koshikaon ke karan hota hai jo rakt nalikaon ko badhit karti hain tatha jiske karan sthanik-arktata, Dard, Parigalan tatha kai baar ang ki kshti hoti hai.
कार्बन के रासायनिक यौगिकों को कार्बनिक यौगिक कहते हैं।	Carbon ke rasayanik yaugikon ko kaarbanik yaugik kahte hain.
कुछ तंत्रिकाविकारों के कारण ग्रासनाल के सिरे में आकर्ष या ऐंठन (cardiospasm) होने लगती है, जिसके मुख्य लक्षण निगलने में कठिनाई, खाए हुए आहार का वमन द्वारा अपचित दशा में बाहर निकल जाना और उदर के ऊर्ध्व भाग में पीड़ा है।	kuchh tantrikavikaron ke karan Grancenaal ke sire men aakrsh ya aithan (cardiosoasm) hone lagti hai, jiske mukhy lakshan niglane men kathinai, khaye huye aahar ka Waman dwara apchit Dasha men bahar nikal jana aur Udar ke Urdhv bhag men peeda hai.
अन्य कोई हिंदू दार्शनिक या हिंदू धर्म के संप्रदाय ऐसी मान्यता नहीं रखती है।	any koi Hindu darshnik ya Hindu Dharm ke sampraday aisi manyata nahin rakhati hai.
पितृवंशीय कबीलों में ही बहुपति प्रथा पाई गई है और इनमें नारी का वर्जा पुरुष की अपेक्षा हीन है।	Pitruvanshiy Kabilon men hi Bahupati pratha paai gai hai aur inmen Nari ka varja Purush ki apeksha Heen hai.
कंद मूल और शिकार पर बसर करनेवाले अंडमानी आदिमवासियों में एकपत्नीत्व का नियम है और वे पितृवंशीय तथा पितृस्थानीय हैं।	Kand mul aur Shikar par basar karnewale Andmani Aadimavasiyon men Ekpatnitw ka niyam hai aur we Pitruvanshiy tatha Pitrusthaniy hain.
उन्हें श्रेष्ठ कलाकृतियों से अपने महल को सजाने का शौक था।	unhen shresht kalakrutiyon se apne Mahal ko sajane ka shouk tha.
ऐट वर्ल्ड्स एंड में पीटर ट्रेवर्स ने महसूस किया कि इसने साबित कर दिया है "वास्तव में एक अच्छी चीज में बहुत कुछ हो सकता है।"	At Worlds and men Peter Traversne ne mahsus kiya ki isne saabit kar diya hai "vastav men ek acchhi chij men bahut kuchh ho sakta hai."
यह चेष्टा हिन्दुत्व शब्द का बहुत ही संकीर्ण प्रयोग है।	yah cheshta Hindutw shabd ka bahut hi sankirn prayog hai.
कांग्रेस जिला समिति ने उन्हें लेखा परीक्षक के पद पर कार्यकारी कमेटी में ले लिया।	Congress jila samiti ne unhen lekha parikshak ke pad par kaaryakari comeetee men le liya.
यह बिहार के रोहतास जिला मुख्यालय सासाराम से लगभग 55 और डेहरी आन सोन से 43 किलोमीटर की दूरी पर सोन नदी के बहाव वाली दिशा में पहाड़ी पर स्थित है।	yah Bihar ke Rohtaas jila mukhyalay Sasaram se lagbhag 55 aur Dehri aan Sin se 43 kilomeetar ki duri par Son nadi ke bahav wali disha men Pahadi par sthit hai.
जैकी श्रॉफ (राजा ज्ञानेंद्र सिंह)	Jackie Shroff (Raja Dhnyanendra Sinh)
असामान्य पलकों से आंखों में रगड़ होती है जो कोर्निया में फोड़े के विस्तार कारण बनती है।	asamanya palkon se aankhon men ragad hoti hai jo Cornea men fode ke vistar karan banti hai.
एक सार्वजनिक और मीडिया व्यक्तित्व के रूप में, उन्होंने समाज के बारे में, पूर्व और पश्चिम के बीच के निर्माण पुलों के बारे में, महिला अधिकार, व सामुदायिक विकास, के बारे में बात की और लिखी है।	ek sarvjanik aur Midea vyaktitw ke roop men, unhone samaaj ke bare men, Purv aur Pashchim ke beech ke nirmaan pulon ke baare men, Mahila adhikaar, v Samudayik vikaas, ke bare men baat ki aur likhi hai.
रचनात्मकतावाद - नॉम गाबो, {स2}गुस्ताव क्लुतसिस, टाट्लिन, लैस्ज़लो मोहोली-नागी, एल लि्स्सिट्ज़की, काश्मीर मेलेविच, वैडिन मेल्लर, अलेक्जेंडर रोड्चेन्को, व्लादिमीर टाट्लिन	Rachanatmaktawaad - Nom gabo, {s2} Gustav Klutsis, Tatlin, Laszlo Moholy-Nagy, L Lissitzky, Kashmir malevich,Vadin Meller, Alexzander Rodchenko, Vladimir tatulin
टेलीविजन शृंखलाओं के अनुसार अभिनायकों की सूची	Telivision srinkhlaon ke anusar Abhinaykon ki suchi
आजाद हिन्द फौज	Aajaad Hind Fauj
उन्होंने भगवान विष्णु का दिया हुआ शंख फूँका तो समुद्र फिर से दो भागों में बँट गया और उसके बीचों-बीच वही भूमिवाला मार्ग प्रकट हो गया।	unhone Bhagwan Vishnu ka diya hua shankh funka to Samudra fir se do bhagon men bant gaya aur uske beechon-beech wahi bhumiwal marg prakat ho gaya.
इस सन्धि-पत्र पर हस्ताक्षर किये जाने के कुछ समय पश्चात् नेपोलियन को फ्रांस के सिंहासन से उतार दिया गया और अब पैरिस में समझौते की बातचीत आरम्भ हो गई।“	is sandhi-patr par hastakshar kiye jane ke kuchh samay pashchatt Nepoliyan ko France ke sinhasan se utaar diya gaya aur ab Paris men samjhaute ki baatchit aarambh ho gai."
