जबकि	Jabki
श्री	Shri
राधाचरित	Radhacharit
महाकाव्यम्	mahakavyam
के	ke
लिये	liye
उन्हें	unhen
सन्	san
1986	1986
में	mein
साहित्य	saahitya
अकादमी	akaadami
पुरस्कार	purskaar
से	se
सम्मानित	sammaanit
किया	kiya
गया।	gaya.
</s>	</s>
तार	taar
अंतरण	antran
(स्थानीय	(sthaniya
और	aur
अंतर्राष्ट्रीय)	antarraashtriya)
</s>	</s>
तत्पश्चात्‌	tatpashchaat‌
लोहे	lohe
के	ke
कार्बन	kaarban
का	ka
ऑक्सीकरण	oxykaran
होता	hota
है,	hai,
जो	jo
चूने	chune
में	mein
बुदबुदाहट	budbudaahat
उत्पन्न	utpann
होने	hone
के	ke
काल	kaal
में	mein
अपनी	apni
चरम	charam
सीमा	sima
पर	par
पहुँच	pahunch
जाता	jata
है।	hai.
</s>	</s>
इंटरनेट	internet
मूवी	movie
डेटाबेस	detabes
पर	par
फ्रैंक	Frank
ग्रिलो	Grillo
</s>	</s>
एक	ek
और	aur
संस्करण	sanskaran
में,	mein,
जादूगरनी	jaadugarni
उसे	use
धक्का	dhakkaa
देती	deti
है	hai
और	aur
वह	vh
कांटों	kaanton
पर	par
जाकर	jaakar
गिरता	girta
है,	hai,
जिससे	jisse
वह	vah
अंधा	andhaa
हो	ho
जाता	jata
है।	hai.
</s>	</s>
समझा-परखा	samjha-parkha
</s>	</s>
उसकी	uski
यात्राओं	yatraon
का	ka
खर्च	kharch
ईस्ट	East
इंडिया	India
कंपनी	Company
उठाती	uthati
थी	thi
क्योंकि	kyonki
उसे	use
उन	un
सूचनाओं	suchnaon
की	ki
आवश्यकता	avshykta
थी	thi
जो	jo
बुकानन	Bukanan
प्रत्याशित	pratyashit
रूप	roop
से	se
इकट्‌ठी	ikt‌thi
करता	karta
था।	tha.
</s>	</s>
प्रारंभिक	prarambhik
सत्र	satra
भावनात्मक	bhaavnaatmak
रूप	roop
से	se
भरे	bhare
हुए	huye
थे,	the,
चूंकि	chunki
एज़रिन,	Ezrin,
गुथरी	Guthrie
और	aur
वाटर्स	Waters
को	ko
स्पष्ट	spasht
आभास	aabhaas
था	tha
कि	ki
एल्बम	albm
कौन	kaun
सी	si
दिशा	dishaa
में	mein
जाएगा;	jayega;
लेकिन	lekin
एज़रिन	Ezrin
की	ki
भूमिका	bhumika
वाटर्स	Waters
और	aur
बैंड	baind
के	ke
बाकी	baaki
सदस्यों	sadasyon
के	ke
बीच	bich
एक	ek
मध्यस्थ	madhyasth
के	ke
रूप	roop
में	mein
विस्तारित	vistaarit
हो	ho
गई।	gayi.
</s>	</s>
आइंस्टीन	Einstein
ने	ne
अपने	apne
पिता	pita
के	ke
नक्शेकदम	nakshekadam
पर	par
पीछा	pichha
किया	kiya
और	aur
ETH,	ETH,
प्रौद्योगिकी	praudyogiki
के	ke
स्विस	Swiss
फेडरल	Federal
इंस्टीट्यूट,	Institutes,
ज्यूरिख	Zurich
में,	mein,
स्विट्जरलैंड	Switzerland
में	mein
अध्ययन	adhyayan
किया।	kiya.
</s>	</s>
सन्‌	san‌
1920	1920
में	mein
विनोबा	Vinoba
जी	ji
और	aur
उनके	unke
साथी	saathi
साबरमती	Sabarmati
आश्रम	aashram
में	mein
कताई	katai
का	kaa
काम	kaam
सीखते	sikhate
थे।	the.
</s>	</s>
सितम्बर	September
२००१	2001
में	mein
कार्य	karya
निष्पादन	nishpadan
मूल्यांकन	mulyankan
बोर्ड	board
(प्रयोगशालाओं	(prayogashalaon
की	ki
गतिविधियों	gatividhiyon
के	ke
मूल्यांकन	mulyankan
के	ke
लिए	liye
सी.एस.आई.	C.S.I.
आर.	R.
द्वारा	dvara
गठित	gathit
उच्च	uchch
स्तरीय	stariy
समिति)	samiti)
के	ke
सम्मुख	sammukh
एक	ek
प्रस्तुतीकरण	prastutikaran
किया	kiya
गया	gaya
और	aur
बोर्ड	board
ने	ne
यह	yah
गहनता	gahantaa
से	se
पाया	paya
कि	ki
प्रयोगशाला	prayogashala
को	ko
विशेष	vishes
रूप	roop
से	se
चुने	chune
गए	gaye
कार्यक्रमों	karykramon
में	mein
कार्य	karya
करते	karte
हुए	huye
अपनी	apni
विशेषज्ञता	visheshgytaa
तय	tay
करनी	karni
चाहिए।	chaahiye.
</s>	</s>
काट-छांट,	kat-chhant,
बोझिल	bojhil
भौतिक	bhautik
प्रस्तुतीकरण	prastutikaran
के	ke
बजाय,	bajay,
अदाकर्ता	adakarta
बैंक	bank
की	ki
शाखा	shakha
को	ko
चॅक	chek
की	ki
पूरी	puri
इलेक्ट्रॉनिक	ilektronik
छवि	chhavi
को	ko
या	ya
उसके	uske
एक	ek
हिस्से	hisse
का	ka
प्रेषण	preshan
अनुमत	anumat
करता	karta
है।	hai.
</s>	</s>
लेकिन	lekin
अगर	agar
हम	ham
कृष्ण	krishna
गाथा	gatha
को	ko
ध्यान	dhyan
से	se
अध्ययन	adhyayan
करे	kare
पता	pata
चलता	chalta
चेरुशेरी	Cherusseri
एक	ek
गहरी	gahri
सौंदर्य	saundarya
बोध	bodh
के	ke
कवि	kavi
थे।	the.
</s>	</s>
निस्तारण	nistaran
कार्यक्रम	karyakram,
,जून	June
2007	2007
में,	mein,
रासायनिक	rasayanik
हथियार	hathiyaar
भंडार	bhandar
को	ko
45%	45%
तक	tak
लेन	lene
में	mein
सफल	safal
रहा।	raha.
</s>	</s>
किन्तु	kintu
वे	ve
पुराने	purane
प्रबंध	prabandh
काव्य	kavya
के	ke
समानान्तर	samanantar
नहीं	nahin
हैं।	hain.
</s>	</s>
टोरांटो,	Toranto,
ओन्टैरियो	Ontario
</s>	</s>
इसी	isi
के	ke
मुताबिक	mutabik
उन्होंने	unhonne
गवर्नर	gavarnar
द्वारा	dvara
नियंत्रित	niyantrit
किये	kiye
जाने	jane
वाले	vale
उपनिवेशों	upniveshon
में	mein
भी	bhi
उसे	use
सलाह	salah
देने	dene
के	ke
लिए	liye
अधिकारियों	adhikaariyon
की	ki
एक	ek
कार्यकारी	karyakaari
परिषद्	parishad
नियुक्त	niyukt
कर	kar
रखी	rakhi
थी।	thi.
</s>	</s>
कुर्मी	kurmi
आदिवासि,	adivaasi,
जो	jo
आकृति	akruti
नहीं	nahin
बल्कि	balki
प्रकृति	parkruti
पुजक	pujak
होते	hote
हैं,	hain,
इस	is
ब्रम्हांड	brahmaand
के	ke
एकमात्र	ekmatra
परम	param
सत्य	satya
प्रकृति	prkruti
को	ko
ही	hi
अपना	apna
भगवान	bhagvan
मानते	maante
हैं	hain
और	aur
गराम,	garaam,
धरम,	dharam,
बसुमाता	basumata
के	ke
रूप	roop
में	mein
प्रकृति	prakruti
की	ki
ही	hi
पुजा	pujaa
अराधना	aradhana
करते	karte
हैं।	hain.
</s>	</s>
उन्हें	unhen
6	6
अगस्त	Agust
1962	1962
से	se
30	30
नवंबर	November
1962	1962
के	ke
बीच,	bich,
जमैका	Jamaica
की	ki
रानी,	rani,
एलिज़ाबेथ	Elizabeth
द्वितीय	dvitiya
द्वारा,	dvara,
जमैका	Jamaica
के	ke
गवर्नर-जनरल	gavarnar-janral
यानि	yaani
महाराज्यपाल	maharajyapal
के	ke
पद	pad
पर	par
नियुक्त	niyukt
किया	kiya
गया	gaya
था।	tha.
</s>	</s>
बाद	baad
में	mein
1900	1900
में,	mein,
जोधपुर-हैदराबाद	Jodhpur-Hyderabad
रेलवे	railway
के	ke
साथ	saath
(इस	(is
रेलवे	railway
का	ka
कुछ	kuchh
हिस्सा	hissaa
पाकिस्तान	Pakistan
में	mein
है)	hai)
सिंध	Sindh
प्रांत	prant
के	ke
हैदराबाद	Hyderabad
के	ke
साथ	saath
संबंध	sambandh
है।	hai.
</s>	</s>
नेट;	net;
प्रिंसिपल	prinsipal
निरंजन	Niranjan
सिंह;	Singh;
प्रोफेसर	Professor
दीवान	Diwan
चंद	Chand
शर्मा;	Sharma;
और	aur
रजिस्ट्रार	rajistrar
डी.	di.
</s>	</s>
उत्तर	uttar
में	mein
कृष्णपक्ष	krishnapaksh
१	1
से	se
और	aur
दक्षिण	dakshin
में	mein
शुक्ल	shukla
पक्ष	paksh
१	1
से	se
मास	mas
की	ki
गणना	gadna
होती	hoti
है।	hai.
</s>	</s>
उर्दू	urdu
साहित्य	sahitya
के	ke
इतिहास	itihaas
पर	par
ध्यान	dhyan
देने	dene
से	se
यह	yah
बात	bat
स्पष्ट	spasht
प्रमाणित	pramanit
है।	hai.
</s>	</s>
हैट	hait
स्विच	swich
कुछ	kuchh
जॉयस्टिकों	joystikon
पर	par
मौजूद	maujud
एक	ek
प्रकार	prakaar
का	ka
नियंत्रक	niyantrak
होता	hota
है।	hai.
</s>	</s>
भूमि	bhoomi
</s>	</s>
इन	in
देवताओं	devtaaon
के	ke
साथ,	saath,
अनेक	anek
लोक-देवताएँ	lok-devtayen
भी	bhi
शामिल	shaamil
है।	hai.
</s>	</s>
इस	is
लोककथा	lokakatha
से	se
ही	hi
इस	is
प्रपात	prapaat
का	ka
नाम	naam
तब	tab
से	se
उस	us
अजगर	ajgar
के	ke
नाम	naam
पर	par
पड़	pad
गया	gaya
और	aur
इस	is
झरने	jharne
की	ki
लोकप्रियता	lokpriyta
और	aur
भी	bhi
बढ़	badh
गयी।	gayi.
</s>	</s>
हिंदी	hindi
में	mein
इसी	isi
तरह	tarah
की	ki
रचना	rachna
ढोलामारुरा	dholamarura
दुहा	duha
है।	hai.
</s>	</s>
कोलकाता	Kolkata
का	ka
हिंदी	hindi
रंगमंच-३	rangamanch-3
</s>	</s>
सुनील	Sunil
तनेजा	Taneja
</s>	</s>
डाटा	data
सुरक्षा	suraksha
के	ke
</s>	</s>
अन्य	anya
भाषा	bhasha
शिक्षण	shikshan
-	-
महावीर	Mahavir
सरन	Saran
जैन	Jain
</s>	</s>
डेव	Dave
के	ke
पौराणिक	pauranik
जीव	jeev
और	aur
स्थान	sthaan
-	-
इकसिंगा	iksinga
</s>	</s>
इसकी	iski
स्थापना	sthapna
सन्	san
१९७२	1972
में	mein
की	ki
गयी	gayi
थी।	thi.
</s>	</s>
यह	yah
अभिषेक	abhishek
जल,	jal,
इक्षुरस,	ikshuras,
दुध,	dudh,
चावल	chaval
का	ka
आटा,	ataa,
लाल	laal
चंदन,	chandan,
हल्दी,	haldi,
अष्टगंध,	ashtagandh,
चंदन	chandan
चुरा,	chura,
चार	char
कलश,	kalash,
केसर	kesar
वृष्टि,	vrishti,
आरती,	aarti,
सुगंधित	sugandhit
कलश,	kalash,
महाशांतिधारा	mahashantidhara
एवं	evam
महाअर्घ्य	mahaarghya
के	ke
साथ	saath
भगवान	bhagvan
नेमिनाथ	Neminath
को	ko
समर्पित	samarpit
किया	kiya
जाता	jata
है।	hai.
</s>	</s>
आयोग	ayoga
के	ke
सदस्य	sadasya
सर	sir
ज़ियाउद्दीन	Ziyauddin
थे,	the,
डॉ	Dr.
ग्रेगरी,	Gregary,
रामसे	Ramse
मुइर,	Muir,
सर	Sir
हार्टोग,	Hartog,
डॉ	Dr.
हॉर्नियल	Hornial
और	aur
सर	Sir
असुतोश	Asutosh
मुखर्जी।.	Mukharji.
</s>	</s>
उपन्यास	upanyas
में	mein
पहली	pahli
बार	bar
मानव	manav
चरित्र	charitra
के	ke
यथार्थ,	yatharth,
विशद	vishad
एवं	evam
गहन	gahan
अध्ययन	adhyayan
की	ki
संभावना	sambhavna
देखने	dekhne
को	ko
मिली।	mili.
</s>	</s>
कई	kayi
हफ्तों	hafton
के	ke
बाद,	bad,
हालांकि	halanki
वाटर्स	Waters
ने	ne
एक	ek
दूसरी	dusri
अवधारणा	avdharna
की	ki
कल्पना	kalpna
शुरू	shuru
की।	ki.
</s>	</s>
शहबाज़	Shahbaz
खान	Khan
(नौनिहाल)	(Naunihal)
</s>	</s>
यहाँ	yahan
के	ke
आयात	aayaat
में	mein
दूध,	dudh,
मक्खन,	makkhan,
तेलहन,	telhan,
बाल्टिक	Baltic
सागरी	sagari
प्रदेशों	pradeshon
से	se
लकड़ी	lakdi
के	ke
लट्ठे	latthe
और	aur
स्वीडन	Sweden
से	se
लोहा	loha
मुख्य	mukhya
हैं।	hain.
</s>	</s>
खड़ी	khadi
बोली	boli
वह	vah
बोली	boli
है	hai
जिसपर	jispar
ब्रजभाषा	brajbhasha
या	ya
अवधी	awadhi
आदि	aadi
की	ki
छाप	chhaap
न	na
हो।	ho.
</s>	</s>
इसके	iske
बावजूद	bavjud
ज्योतिबा	Jyotiba
फूले	Phule
ने	ne
हमेशा	hamesha
ही	hi
तथाकथित	tathakathit
'नीची'	'nichi'
जाति	jaati
के	ke
लोगों	logon
के	ke
अधिकारों	adhikaron
की	ki
पैरवी	pairvi
की।	ki.
</s>	</s>
उप	up
राष्ट्रीय	rashtriya
संस्थाएं	sansthayen
रेजीडेंसी	rejidensi
या	ya
अन्यथा,	anyatha,
आवश्यकताओं	avshyaktaon
को	ko
अध्यारोपित	adhyaaropit
कर	kar
सकती	skati
हैं,	hain,
जो	jo
नागरिकों	nagarikon
को	ko
उस	us
संस्था	sanstha
की	ki
राजनीती	raajniti
में	mein
हिस्सा	hissa
लेने	lene
की	ki
अनुमति	anumati
देती	deti
है,	hai,
या	ya
इस	is
संस्था	sanstha
की	ki
सरकार	sarkar
के	ke
द्वारा	dvara
उपलब्ध	uplabdh
कराये	kraye
गए	gaye
फायदों	faydon
का	ka
आनंद	anand
उठाने	uthane
का	ka
मौका	mauka
प्रदान	pradaan
करती	karti
है।	hai.
</s>	</s>
एक	ek
पुटक	putak
से	se
एक	ek
बाल,	baal,
या	ya
एक	ek
से	se
अधिक	adhik
बाल,	baal,
निकल	nikal
सकते	sakte
हैं।	hain.
</s>	</s>
इसमे	isme
पूर्वप्रक्रमण	purvaprakraman
(पाठ	(paath
सामान्यिकरण,	saamaanyikaran,
विन्यास	vinyaas
प्रतिस्थापन,	pratisthaapan,
व्यक्तिवाचक	vyaktivaachak
संज्ञा	sangya
प्रतिस्थापन),	pratisthaapan),
अनुवाद	anuvaad
इन्जन	injan
(उपनाम	(upnam
पहचान,	pahchan,
शीर्षक	shirshak
पहचान,	pahchaan,
शब्दकोश	shabdkosh
खोजन,	khojan,
शब्दार्थ	shabdaarth
असंदिग्धता,	asandigdhta,
रूपान्तरण	rupantaran
विश्लेषण,	vishleshan,
लिप्यन्तरण)	lipyantaran)
और	aur
पश्चातवर्ती	pshchaatvarti
प्रक्रमण	prakraman
मापांक	mapank
सम्मिलित	sammilit
हैं।	hain.
</s>	</s>
पहले	pahle
अनेक	anek
स्थानीय	sthaniya
देवताओं	devtaon
की	ki
अपनी	apni
अपनी	apni
पुराकथाएँ	purakthayen
तथा	tatha
चरित्र	charitra
थे	the
किंतु	kintu
बाद	baad
में	mein
समाज	samaaj
की	ki
इन	in
धार्मिक	dharmik
इकाइयों	ikaiyon
में	mein
एकरूपता	ekrupta
आने	aane
लगी	lagi
और	aur
सार्वजनिक	sarvajanik
रूप	roop
से	se
सर्वनिष्ठ	sarvanisth
देवताओं	devtaon
और	aur
देवियों	deviyon
की	ki
पूजा	puja
के	ke
विधान	vidhaan
और	aur
आख्यान	aakhyan
बनने	banne
लगे।	lage.
</s>	</s>
मुसब्बर	musabbar
प्रजातियों	prajatiyon
में	mein
वोलाटाइल	volatayil
तैल	tail
भी	bhi
होता	hota
है,	hai,
जिसके	jiske
कारण	karan
इसमें	ismen
एक	ek
गंध	gandh
होता	hota
है।	hai.
</s>	</s>
स्पेक्ट्रमी	spektrami
सूर्यदर्शी	suryadarshi
या	ya
एकवर्ण	ekvarn
सूर्यदर्शक	suryadarshak
(स्पेक्ट्रोहेलियोस्कोप)	(spektroheliyoskop)
एक	ek
प्रकार	prakaar
का	ka
सौर	saur
दूरदर्शी	durdarshi
है	hai
जो	jo
किसी	kisi
चुने	chune
हुए	huye
तरंगदैर्घ्य	tarangadairghya
में	mein
सूर्य	surya
को	ko
देखने	dekhne
के	ke
लिए	liye
उपयोग	upyog
किया	kiya
जाता	jata
है।	hai.
</s>	</s>
स्वभाव	swbhav
से	se
धैर्यवान	dhairyvan
होने	hone
के	ke
साथ-साथ	saath-saath
वे	ve
उद्घत	udghat
है।	hai.
</s>	</s>
कहते	kahte
हैं	hain
कि	ki
मुग़ल	Mughal
सम्राट	Samraat
हुमायूँ	Humayun
ने	ne
यमुना	Yamuna
नदी	nadi
के	ke
किनारे	kinare
उसी	usi
टीले	tile
पर	par
जिसके	jiske
नीचे	niche
इन्द्रप्रस्थ	Indraprasth
दबी	dabi
पड़ी	padi
है,	hai,
अपने	apne
स्वयं	svaynam
की	ki
नगरी	nagari
“दीनपनाह”	“Dinpanah”
स्थापित	sthaapit
की	ki
थी।	thi.
</s>	</s>
उन्होंने	unhone
कोशी	Koshi
नदी	nadi
के	ke
बाढ़	baadh
के	ke
दौरान	dauraan
प्रकाश	Prakash
झा	Jha
के	ke
साथ	saath
बिहार	Bihar
बाढ़	baadh
राहत	rahat
मिशन	mishan
पर	par
काम	kam
किया।	kiya.
</s>	</s>
हंस	Hans
अल्बर्ट	Albert
आइंस्टीन	Einstein
के	ke
पत्र	patra
जल	jal
संसाधन	sansadhan
संग्रह	sangrah
और	aur
कैलिफोर्निया,	California,
रिवरसाइड	Riverside
पुस्तकालय	pustakaalay
के	ke
विश्वविद्यालय	vishwavidyaalay
में	mein
अभिलेखागार	abhilekhagar
में	mein
आयोजित	aayojit
की	ki
जाती	jaati
हैं	hain
और	aur
आयोवा	Iowa
पुस्तकालय	pustakaalay
विशेष	vishesh
संग्रह	sangrah
और	aur
अभिलेखागार	abhilekhagar
के	ke
विश्वविद्यालय	vishwavidyaalay
में	mein
भी	bhi
</s>	</s>
1985	1985
में,	mein,
सेगा	Sega
के	ke
तीसरे-व्यक्ति	tisre-vyakti
वाले	vale
आर्केड	orked
रेल	rel
शूटर	shootar
खेल	khel
स्पेस	spes
हैरियर	heriyar
में	mein
एक	ek
वास्तविक	vaastvik
एनालॉग	enalog
उड़ान	udan
छड़ी,	chhadi,
जिसका	jiska
प्रयोग	prayog
गतिशीलता	gatishilta
के	ke
लिए	liye
किया	kiya
जाता	jataa
था,	tha,
प्रस्तुत	prastut
की	ki
गई।	gayi.
</s>	</s>
हेनरी	Henry
विंटरफ्रेड	Winterfeld
का	ka
उपन्यास	upnayas
कास्टावेस	Castaways
इन	in
लिलिपुट	Lilliput
(1958)	(1958)
तीन	tin
सामान्य	samanya
अकार	akar
के	ke
बच्चों	bachchon
के	ke
बारे	bare
में	mein
है	hai
जो	jo
आधुनिक	adhunik
लिलिपुट	liliput
में	mein
रहते	rahte
हैं।	hain.
</s>	</s>
इन	in
दोनों	dono
कारणों	karno
से	se
अलग	alag
कुछ	kuchh
इतिहासकारों	itihaskaron
का	ka
मानना	manna
है	hai
कि	ki
यह	yah
युद्ध	yuddh
बाबर	Babar
एवं	evam
राणा	Rana
सांगा	Sanga
की	ki
महत्वाकांक्षी	mahtvakankshi
योजनाओं	yojnaon
का	ka
परिणाम	parinam
था।	tha.
</s>	</s>
इनमें	inmen
पंचतंत्र	panchtantra
का	ka
पहलवी	pahalvi
भाषा	bhasha
में	mein
हुआ	hua
अनुवाद	anuvaad
पाँचवीं	paanchvi
शताब्दी	shatabdi
का	ka
बताया	bataya
जाता	jata
है।	hai.
</s>	</s>
पारसनाथ	Parasnath
की	ki
पहाड़ियाँ	pahadiyan
सीताफल	sitaafal
या	ya
शरीफे	sharife
के	ke
छोटे	chhote
वृक्षों	vrikshon
से	se
भरी	bhari
हैं।	hain.
</s>	</s>
हाल	haal
के	ke
वर्षों	varshon
में	mein
एमेक्स	Amex
ने	ne
अन्य	anya
बैंकों	bainko
को	ko
एमेक्स	Amex
की	ki
ओर	or
से	se
प्राप्त	praapt
या	ya
जारी	jari
करने	karne
के	ke
लिए	liye
अधिकृत	adhikrit
करना	karna
प्रारंभ	prarambh
किया	kiya
है,	hai,
ने	ne
के	ke
लिए	liye
या	ya
तो	to
अधिग्रहण	adhigrahan
शुरू	shuru
हो	ho
गया	gaya
है	hai
या	ya
Amex	Amex
ओर,	or,
मुद्दा	muddaa
मुख्य	mukhya
रूप	roop
से	se
देशों	deshon
में,	mein,
जहां	jahaan
Amex	Amex
अन्यथा	anytha
कम	kam
या	ya
कोई	koyi
उपस्थिति	upasthiti
होगा।	hoga.
</s>	</s>
यह	yah
4000	4000
वर्ग	varga
मीटर	mitar
के	ke
क्षेत्र	kshetra
में	mein
फैला	faila
हुआ	hua
है।	hai.
</s>	</s>
इसे	ise
महाराजा	Maharaja
नाहरसिंह	Naaharsingh
मार्ग	marga
काटता	katta
है।	hai.
</s>	</s>
इन	in
आचार्यो	achaaryon
में	mein
भवभूति,	Bhavbhuti,
माघ,	Maagh,
बाणभट्ट,	Banbhatt,
कालिदास,	Kalidas,
मानतुंग,	Mantunga,
भास्करभट्ट,	Bhaskarbhatt,
धनपाल,	Dhanpal,
बौद्ध	Bauddh
संत	Sant
बन्स्वाल,	Banswal,
समुन्द्र	Samundra
घोष	Ghosh
आदि	aadi
विश्व	vishwa
विख्यात	vikhyat
है।	hai.
</s>	</s>
उसकी	uski
अलौकिक	alaukik
आवाज़	aawaj
से	se
सम्मोहित	sammohit
होकर,	hokar,
वह	vah
युवती	yuvati
की	ki
तलाश	talash
में	mein
निकला	nikla
और	aur
मीनार	minar
को	ko
पाया,	paya,
लेकिन	lekin
वह	vah
उसमें	usmen
प्रवेश	pravesh
करने	karne
में	mein
असमर्थ	asamarth
था।	tha.
</s>	</s>
ऐसा	Aisa
भूमि	bhumi
में	mein
जल	jal
निकास	nikas
ना	na
होने	hone
से,	se,
जलवायु	jalvayu
की	ki
विपरीत	viprit
परिस्थितियों	paristhitiyon
होने	hone
के	ke
कारण	karan
हो	ho
सकता	sakta
है।	hai.
</s>	</s>
गैडट	Gadot
इज़राइल	Israel
मेंं	mein
पैदा	paida
हुईं	huin
और	aur
पली	pali
बढ़ीं।	badhi.
</s>	</s>
जवाबी	javabi
पारी	paari
में	mein
सिवनी	Siwani
बानापुरा	Banapura
की	ki
टीम	teem
ने	ne
5	5
विकेट	viket
के	ke
नुकसान	nuksan
के	ke
बाद	baad
138	138
रनों	ranon
का	ka
लक्ष्य	lakshya
19	19
ओवर	ovar
में	mein
ही	hi
हासिल	haasil
कर	kar
लिया।	liya.
</s>	</s>
क्रिएशन	Creation
संग्रहालय	Sangrahalay
</s>	</s>
पेस्टाज़ा	Pastaza
</s>	</s>
इसके	iske
अतिरिक्त	atirikt
विद्वानों	vidvanon
का	ka
मत	mat
है	hai
कि	ki
कादंबरी,	Kadambari,
दशकुमारचरित्‌,	Dashkumarcharit‌,
उदयन	Udyan
और	aur
पंचतंत्र	Panchtantra
की	ki
कथाओं	kathaon
का	ka
मूल	mul
बृहत्कथा	brihtkatha
ही	hi
है।	hai.
</s>	</s>
उन्नीसवीं	unnisvin
शताब्दी	shatabdi
के	ke
प्रारंभिक	prarambhik
वर्षों	varshon
में,	mein,
बुकानन	Buchanan
ने	ne
राजमहल	rajmahal
की	ki
पहाड़ियों	pahadiyon
का	ka
दौरा	daura
किया	kiya
था।	tha.
</s>	</s>
यह	yah
क्षेत्र	kshetra
महाराष्ट्र	Maharashtra
के	ke
औरंगाबाद	Aurangabad
विभाग	vibhag
के	ke
जिलो	jilo
को	ko
मिला	mila
कर	kar
बनता	banta
हैं।	hain.
</s>	</s>
बाबू	Babu
खा	khan
की	ki
जो	jo
विशेषता	visheshta
है	hai
वो	vo
उन्हें	unhen
राजनीतिज्ञों	rajnitigyon
में	mein
विशिष्ट	vishisht
बनती	banti
है	hai
वो	vo
है	hai
की	ki
आज	aaj
तक	tak
कोई	koi
पार्टी	parti
नहीं	nahi
बदली	badli
दूसरी	dusri
बात	baat
कि	ki
उनका	unka
राजनितिक	rajnitik
जीवन	jivan
साफ	saaf
और	aur
बेदाग	bedaag
है।	hai.
</s>	</s>
प्रगत	pragat
पदार्थ	padarth
तथा	tatha
प्रक्रम	prakram
अनुसंधान	anusandhan
संस्थान	sansthan
का	ka
जालघर	jaalghar
</s>	</s>
1952	1952
में	mein
बंगाली	bengali
छात्रों	chhaatron
ने	ne
पूर्वी	purvi
पाकिस्तान	Pakistan
में	mein
पाकिस्तानी	pakistani
सरकार	sarkar
द्वारा	dvara
उर्दू	Urdu
को	ko
राष्ट्रीय	rashtriya
भाषा	bhasha
बनाने	banane
कि	ki
घोषणा	ghoshna
करने	karne
के	ke
बाद	baad
उसके	uske
विरोध	virodh
में	mein
जुलूस	julus
निकाला।	nikala.
</s>	</s>
इस	is
प्रकार,	prakar,
यह	yah
एक	ek
वृत्त	vritta
का	ka
सामान्यीकृत	samanyikrit
रूप	roop
होता	hota
है।	hai.
</s>	</s>
कुछ	kuchh
लक्षणों,	lakshano,
जैसे	jaise
कि	ki
अस्थिर	asthir
मूत्राशय	mutrashay
और	aur
संस्तम्भता	sanstmbhta
(spasticity),	(spasticity),
में	mein
औषधि	aushadhi
के	ke
साथ	saath
एक	ek
अच्छी	achchhi
प्रतिक्रिया	pratikriya
होती	hoti
है,	hai,
जबकि	jabki
कई	keyi
दूसरों	dusron
का	ka
प्रबंधन	prabandhan
और	aur
अधिक	adhik
जटिल	jatil
होता	hota
है।	hai.
</s>	</s>
अनीता	Anita
और	aur
साहिल	Sahil
एक	ek
दूसरे	dusre
को	ko
चुम्मा	chumma
देते	dete
हैं	hain
इस	is
दौरान	dauran
अनीता	Anita
को	ko
अपनी	apni
गलती	galti
का	ka
एहसास	ehsas
हो	ho
जाता	jata
है	hai
और	aur
वह	vah
उसे	use
रोक	rok
देती	deti
है।	hai.
</s>	</s>
किवदन्ती	kivdanti
के	ke
अनुसाल	anusar
हेमावती	Hemavati
के	ke
पुत्र	putra
का	ka
चन्द्रमा	chandrama
से	se
उत्पन्न	utpann
होना	hona
चन्देल	Chandel
कहलाया	kahlaya
है।	hai.
</s>	</s>
यहां	yhan
बहुत	bahut
से	se
भारतीय	bhartiya
एवं	evam
अंतर्राष्ट्रीय	antarrashtriya
टीवी	tv
चैनल्स	chainals
उपलब्ध	uplabdh
हैं।	hain.
</s>	</s>
प्रथम	pratham
रमैनी	ramaini
में	mein
सृष्टि	srishti
की	ki
उत्पत्ति	utpatti
का	ka
वर्णन,	varnan,
समष्टि	samashti
और	aur
व्यष्टि	vyashti
भाव	bhaav
से	se
किया	kiya
गया	gaya
है।	hai.
</s>	</s>
यह	yah
संस्थान	sansthan
दिसपुर	Dispur
राजधानी	rajdhani
परिसर	parisar
से	se
5	5
किलोमीटर,	kilomitar,
रेलवे	relve
स्टेशन	steshan
से	se
10	10
किलोमीटर	kilomitar
और	aur
एल.	el.
</s>	</s>
जोखिम	jokhim
प्रबंधन	prabandhan
</s>	</s>
ब्राह्मण	brahman
घोड़ा	ghoda
और	aur
रत्न	ratna
लेकर	lekar
वापस	vapas
चल	chal
पड़ा।	pada.
</s>	</s>
यहां	yahan
लोरी	lori
इसकी	iski
तुलना	tulna
उस	us
गीगा	giga
घर	ghar
से	se
करते	karte
हैं,	hain,
जिसमें	jismen
वे	ve
हैं।	hain.
</s>	</s>
एक	ek
दिन	din
उसी	usi
आवास	awas
में	mein
एक	ek
रात	rat
उन्हें	unhen
अलौकिक	alaukik
प्रकाश	prakash
कहीं	kahin
दूर	dur
से	se
आता	ata
मालूम	malum
पड़ा।	pada.
</s>	</s>
वे	ve
(बिस्मिल	(Bismil
आदि)	aadi)
तो	to
राजनीतिक	rajnitik
बन्दी	bandi
हैं	hain
अत:	atah
उनके	unke
साथ	sath
तमीज	tamij
से	se
पेश	pesh
आयें।	aayen.
</s>	</s>
वन	van
क्षेत्रों	kshetron
में	mein
अपनी	apni
तेज	tej
आवाज	aawaj
के	ke
कारण	karan
यह	yah
आसानी	asani
से	se
